Artist Name,Title,Thumbnail,Label,Genre,master release date
All Dyrections,Soul Makossa / On Top Of It,https://i.discogs.com/YeemxVTgItrpPHtjVtSx-5P4ri3i8rcI_uNWZZKXSgg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwMTgy/OTgtMTM1MjY4MjMx/OS04Nzk5LmpwZWc.jpeg,,Funk / Soul,1973
Iron Knowledge,Show-Stopper,https://i.discogs.com/E82WZpME63QG8ELcL7qFDXzYhoo_z80unELA4_l7GNo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNjk3/NDgtMTQzMTM3OTgy/NC02MjI1LmpwZWc.jpeg,Tammy Records,"Rock, Funk / Soul",1972
Kenny Smith And The Fox Fire Band / Kenny Smith,Here Comes The Law / Foxfire,https://i.discogs.com/p6pM4F8ret3URdnH0y1D8zV6vpk1nW8BZdlq06UCWXA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMDM1/MjUtMTU0NDI1MDgx/NS02MjcyLmpwZWc.jpeg,"Dopebrother Records, Lena Records",Funk / Soul,2007
Mongo Santamaria,Cold Sweat / Sitting On The Dock Of The Bay,https://i.discogs.com/vfL9bVidSQxdXcy4T06F3CVxkO0TOL0Jypg7uPyfcf0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1MTc5/NTYtMTU5NDk4NzE0/NS03MTM2LmpwZWc.jpeg,,"Latin, Funk / Soul",1968
The Chubukos,Witch Doctor Bump / House Of  Rising Funk,https://i.discogs.com/YCsf0QXDCyQ1-rCLXgjaIhms4PeA0D6F-J6-PPaRtBs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY0NzY2/Mi0xMTQzMDIzMzAy/LmpwZWc.jpeg,Mainstream Records,Funk / Soul,1973
Lee Dorsey,Sneakin' Sally Thru The Alley / Tears Tears And More Tears,https://i.discogs.com/iON7GDsHzMb-Q9rz326As0IM5BYLOlVD_vBrwhzT8RE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2MzMx/OTgtMTUwMzA1NTkw/OC0zMTY3LmpwZWc.jpeg,,Funk / Soul,1970
The Temprees,Explain It To Her Mama,https://i.discogs.com/CLIq0yX048l7ZQLJ3urAj26wt8PEzTSt8n6mtXSm-AI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3OTQ1/ODQtMTUxMTkyNTAx/NC0xNTE0LmpwZWc.jpeg,,Funk / Soul,1972
"Huey ""Piano"" Smith",Tu-Ber-Cu-Lucas And The Sinus Blues / Dearest Darling (You're The One),https://i.discogs.com/B5eKO5E_CPdpH99FAiiRS8vdIkwAOBH2qtepfXGGyr4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2NTAw/NDgtMTI5OTY2NzE5/OC5qcGVn.jpeg,Ace Records (3),Blues,1959
Sugar Billy Garner,I Got Some,https://i.discogs.com/lH767x-eayaQpgNZ8juhCn0YYv5dzv1unIh5yAGdsB4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMzNjcx/NjUtMTMyNzU4NDQ3/My5qcGVn.jpeg,New Day,Funk / Soul,1971
The Leaves,Get Out Of My Life Woman,https://i.discogs.com/vSNF_La86hs9SCN6kUrtWkeQvJ1U9ryrL8KKij0Xj6U/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxMzM1/MTAtMTQ2MzY4ODUx/My04NTgwLmpwZWc.jpeg,,Rock,1966
Third Guitar / Eddie Holloway,Baby Don't Cry / Don't Take Your Love From Me,https://i.discogs.com/5HZLp-phYjwMXeZ4ZffZ87shKCazpgr6FaUZxa-WoRk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3Njc0/NDQtMTI2MzQ1MTQz/Ni5qcGVn.jpeg,,Funk / Soul,1968
Freddy Scott Orchestra,Hangin' Out / First Things First,https://i.discogs.com/G457zA8UdFaaZKs5EDyrvMfX57ch6FATSZgcL_PdsMw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0OTcz/MDEtMTU5MzQxODk3/MC05NTAzLmpwZWc.jpeg,Marlin,Funk / Soul,1966
